"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
"alpha01",0.772213255315623,0.00596272198657395,0.1682880086114,0.445499048305097,0.660884674961302,0.771971122240693,0.887431366758711,1.10491755491092,796.557665387308,1.00456975589789,"alpha01"
"alpha02",-0.00137794081897196,2.00532546841702e-05,0.000653979539746328,-0.0027641948670263,-0.00177617690565101,-0.00135251613223434,-0.000934543086610728,-0.000191944009892384,1063.55164457959,1.00191215050716,"alpha02"
"alpha11",-0.0567700156295755,0.0085814140622641,0.28758674921998,-0.628963381074822,-0.254010068008905,-0.0580250890405995,0.137658935279235,0.495389367795276,1123.10414001237,1.00481752475729,"alpha11"
"alpha12",-0.00602598751914767,0.000250080836065776,0.00508958989748507,-0.0188129614643429,-0.00883946658637944,-0.00459581860928706,-0.00209140801982216,-4.02021835183479e-05,414.194906794771,1.00478819346633,"alpha12"
"b",0.620727567980126,0.00523025593654102,0.147517140090627,0.317286284793012,0.526481005518663,0.621663510081862,0.718270289693399,0.903458187875193,795.497989015834,1.00087511489042,"b"
"c",-0.0392392634929571,0.0146487635640192,0.325320946433258,-0.768747511292257,-0.216659372927197,-0.01126107943388,0.176895134396813,0.501709620678743,493.198918261908,1.002795647209,"c"
"sigma_b",1.39544109430162,0.00797723479259561,0.11166602132226,1.21703915568436,1.318868088257,1.38330556719604,1.45460212744357,1.66302381739586,195.946420975226,1.01917747378778,"sigma_b"
"sigma_u",0.714264771014597,0.0112789167808813,0.298472952626591,0.311301981578619,0.511601715622276,0.65700421134602,0.848136099985576,1.46036646045954,700.285572617448,1.00603937747515,"sigma_u"
"sigma_e",1.04312422639549,0.000825651842205778,0.0300933948478436,0.984896762501698,1.02294332252007,1.04233293914129,1.06231594650002,1.10502208906147,1328.45992682765,1.0034703108905,"sigma_e"
"lambda0",0.00714251236583864,0.000256184430852295,0.00701541795205666,0.000934615402696702,0.00282240538890868,0.00500857825419059,0.00892024308903999,0.0262369416498153,749.897030798993,1.00553196008863,"lambda0"
"gamma",1.241142605735,0.00492474693345977,0.142575600278177,0.970168492949475,1.14402781454293,1.23759431933562,1.33710961245189,1.52981450496047,838.151604258921,1.00349639602783,"gamma"
"a_backward[1]",1.77740103983361,0.0432952821783255,1.16442566793233,-0.454382994959953,0.992097349175362,1.7501824155731,2.54642757672805,4.0850900871259,723.339849376116,1.00479629246049,"a_backward[1]"
"a_backward[2]",2.02075280393907,0.031081125429137,0.817998670275611,0.377953075768295,1.48113252904043,2.02447637971279,2.55771225729167,3.61327485306516,692.646626673878,1.00401233722415,"a_backward[2]"
"a_backward[3]",2.07615407220301,0.0241268913620666,0.62643926998485,0.769546284642779,1.6742758486912,2.07958872549457,2.49888585697413,3.30817314030459,674.147940661673,1.00516799402379,"a_backward[3]"
"a_backward[4]",2.44598778342992,0.019371615855506,0.51833415865438,1.39653073494345,2.1175164987208,2.46928615667583,2.7964815476634,3.4310636301064,715.958688366373,1.00330703746568,"a_backward[4]"
